Артикул;Название;Категория;Описание;Цена;Скидка;Вес;Калории;Количество в порции;Объём;Картинка;Статус
6002;Дубай;Сеты;Запеченные роллы: Дубай, Филадельфия, Изуми;868;50;795;1697;24;;uploads/items/dubai-set.jpg;1
6003;Запеченный;Сеты;Запеченные роллы: Вулкан, Унаги, Чемпион, Мадакаскар, Шик ;1430;50;1328;2561;40;;uploads/items/zap-set.jpg;1
6004;Ибуки;Сеты;Горячие роллы: Европа, Сытный, Запеченные роллы: Вулкан, Калифорния, Филадельфия;1416;50;1325;2483;40;;uploads/items/ibuki-set.jpg;1
6005;Любимый;Сеты;Роллы: Калифорния с лососем, Дракон, Батакан, Хит ролл, Горячие роллы: Европа, Олимпийский;1642;50;1440;1871;48;;uploads/items/lubimi-set.jpg;1
6006;Люкс;Сеты;Роллы: Фиш ролл, Ямайка, Фила, Сяке маки, Каппа маки, Запеченные роллы: Калифорния, Шик;1650;50;1450;2002;56;;uploads/items/luks-set.jpg;1
6007;Майями;Сеты;Роллы: Майами, Бонито спайси, Сяке маки, Калифорния с крабом, Каппа маки, Фиш ролл, Кани маки;1460;50;1265;1358;56;;uploads/items/maiami-set.jpg;1
6008;Мега;Сеты;Роллы: Токио, Калифорния с креветкой, Сяке-тобико маки, Хит ролл, Фила, Гурман, Спайс-сяке маки, Тейшоку, Батакан, Филадельфия с лососем, Горячие роллы: Цезарь, Сакура;3294;50;2790;3250;98;;uploads/items/mega-set.jpg;1
6009;Микс;Сеты;Ролл: Калифорния шик, Запеченный ролл: Филадельфия, Горячий ролл: Йоко;868;50;785;1330;24;;uploads/items/miks-set.jpg;1
6010;На двоих;Сеты;Запеченый ролл: Дуэт, Роллы: Микс, Грин ролл, Филадельфия с лососем, Суши: Чука - 2шт, Кани спайс - 2шт;1240;50;1109;1619;36;;uploads/items/na-dvoih-set.jpg;1
6011;Радуга;Сеты;Роллы: Каппа маки, Спайс-сяке маки, Филадельфия с лососем, Калифорния с крабом, Сяке маки;1016;50;855;771;40;;uploads/items/raduga-set.jpg;1
